,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed
0,-0.036038004,-0.470872939,0.825157523,0.007947743,-0.008682212,0.001392661,39.536645,
1,-0.056278527,-0.4629125,0.842947423,-0.002691388,-0.006931705,0.000740597,39.739528,
2,-0.033816483,-0.455434501,0.850502014,0.006657138,-0.002862385,0.007542042,39.936415,
3,-0.055044349,-0.448438942,0.850502014,0.006134942,0.004268604,0.004292713,40.140096,
4,-0.053069666,-0.474491328,0.836123884,0.007008016,0.00845417,-0.003867601,40.339614,
5,-0.053563334,-0.46122393,0.836611271,0.002681285,0.011975334,-0.006125944,40.536861,
6,-0.048379786,-0.486070186,0.833199501,0.00105004,0.014783583,-0.010991518,40.740128,
7,-0.064917773,-0.488000005,0.819552481,0.001161411,0.018689334,-0.014203517,40.935952,
8,-0.065164611,-0.472561538,0.830518842,0.007643491,0.013897538,-0.03300225,41.143324,
9,-0.05726587,-0.459052891,0.821014643,0.007519946,0.017903479,-0.029520046,41.339788,
10,-0.072569683,-0.46243003,0.824426413,0.017416373,-0.00349537,-0.046492606,41.536744,
11,-0.00394937,-0.477144808,0.813947499,0.000312135,0.02093924,-0.038245924,41.740008,
12,-0.06195575,-0.498131484,0.837586105,0.00908488,0.011775974,-0.03928173,41.950431,
13,-0.044924092,-0.483416706,0.820283592,0.002667576,0.015787018,-0.028784283,42.143277,
14,-0.053069666,-0.467737019,0.83929193,-0.005388096,0.010877461,-0.033149507,42.336672,
15,-0.035544332,-0.490412265,0.846359134,-0.009365693,0.00741702,-0.031873707,42.536915,
16,-0.05726587,-0.478833407,0.827350795,0.001001894,0.018103139,-0.030737417,42.746622,
17,-0.050354473,-0.481728137,0.833930612,-0.006223544,0.016399488,-0.033240795,42.937161,
18,-0.033816483,-0.476903588,0.811754227,0.007880926,0.008166224,-0.032703161,43.141229,
19,-0.035544332,-0.487035096,0.804930687,-0.014937013,0.010947499,-0.02545826,43.338259,
20,-0.04541776,-0.487276316,0.803468525,-0.007373556,0.013589402,-0.014240149,43.547608,
21,-0.03974054,-0.441443413,0.817602932,-0.009652033,0.015162803,-0.006193037,43.738422,
22,-0.041468389,-0.495478004,0.828569293,0.000397876,0.006090051,-0.00775813,43.938111,
23,-0.04368991,-0.477144808,0.83246839,-0.002277702,0.001743437,-0.002500444,44.141957,
24,-0.042208895,-0.467495799,0.843922138,0.001376584,0.004027156,-0.000630447,44.35153,
25,-0.03974054,-0.479798287,0.835392773,-0.003988892,5.46E-05,-0.002100836,44.545115,
26,-0.040974721,-0.469184369,0.841485202,0.002634585,0.003335931,-0.001140009,44.742052,
27,-0.04541776,-0.487035096,0.837586105,-0.001220837,0.001768668,-0.004645039,44.9388,
28,-0.042208895,-0.480280757,0.836123884,-0.005634174,-0.000362096,-0.002128197,45.142426,
29,-0.04368991,-0.477627277,0.841972589,-0.001378477,0.002302196,-0.001171505,45.338496,
30,-0.045911428,-0.504644573,0.826863408,0.004988894,-0.002808968,0.00064915,45.543191,
31,-0.03677851,-0.544446886,0.805905521,0.008654088,-0.002808968,0.002787178,45.739898,
32,-0.041468389,-0.524666309,0.836854994,0.008903906,-0.013670066,0.016412936,45.951195,
33,-0.048379786,-0.481245667,0.82832557,0.003649175,-0.012839719,0.020941878,46.143232,
34,-0.038012687,-0.498855174,0.847577631,-0.00637728,-0.008497774,0.036528163,46.339756,
35,-0.077753223,-0.487517536,0.81126684,-0.006988138,-0.014300993,0.074707232,46.54319,
36,-0.114284903,-0.517429531,0.884863257,-0.032033622,-0.060726751,0.110748284,46.744433,
37,0.003151797,-0.4629125,0.771056831,0.024471417,-0.061032183,0.144956738,46.939126,
38,-0.046405103,-0.545411706,0.753998041,-0.014623955,-0.065919109,0.183746681,47.14298,
39,0.179409981,-0.476179928,0.793720663,-0.046999812,-0.113261163,0.235059366,47.349622,
40,-0.086392477,-0.467978239,0.963821054,-0.035393372,-0.159381494,0.233226761,47.54304,
41,0.032245304,-0.510192752,1.063005686,-0.093425572,-0.123340443,0.294313282,47.739649,
42,-0.072569683,-0.544446886,0.747418225,-0.053108469,-0.217413694,0.332186937,47.939476,
43,-0.161924183,-0.572429061,0.735720813,-0.039363995,-0.225965798,0.335241258,48.142465,
44,-0.041221555,-0.392715752,0.57293129,-0.028673857,-0.153883696,0.323023945,48.3499,
45,-0.075778544,-0.512846231,0.860006213,-0.033255354,-0.152356535,0.375863791,48.54309,
46,-0.046158265,-0.414426088,0.910451412,0.009810656,-0.241542861,0.355094373,48.739618,
47,-0.088120326,-0.52104795,0.987215936,-0.043029189,-0.232379884,0.34134993,48.939334,
48,-0.220671073,-0.440719724,1.170963407,0.093804628,-0.206112683,0.298589349,49.146792,
49,-0.118234277,-0.542517066,0.917518616,0.052571222,-0.204280078,0.362730205,49.339118,
50,0.015758984,-0.497890234,0.922392607,0.115184903,-0.137390345,0.364562809,49.542924,
51,-0.108114019,-0.477627277,0.700628459,-0.051275879,-0.185037836,0.337990165,49.739793,
52,0.222080454,-0.398746401,0.707695603,-0.184139073,-0.039346468,0.295535028,49.952335,
53,-0.311012894,-0.484140366,0.892905235,-0.126717716,-0.171293363,0.191077068,50.143868,
54,-0.211538151,-0.482451767,0.821989477,0.070897177,-0.072333194,0.237502828,50.340416,
55,0.023274807,-0.540828466,0.758871973,-0.083957165,-0.050952908,0.158395767,50.543985,
56,-0.190063447,-0.537933767,0.932384133,-0.061355144,-0.096156932,0.161755532,50.740789,
57,-0.090341851,-0.473285228,0.721586347,0.05165492,-0.156021729,0.142818704,50.940273,
58,0.095523693,-0.447956473,0.804686964,-0.000268623,-0.017966185,0.188633606,51.143869,
59,-0.025177237,-0.484864056,0.73547709,-0.132826388,-0.166101009,0.066155121,51.340706,
60,0.035154656,-0.533832908,0.949442923,-0.031728178,-0.032626949,0.094254926,51.548575,
61,-0.04862662,-0.511640131,0.711351097,-0.01798372,-0.026212865,0.054243255,51.741113,
62,-0.024189893,-0.448438942,0.897535443,-0.063187748,-0.013995561,0.022783693,51.945438,
63,-0.069113985,-0.496684134,0.769107282,-0.00637728,-0.035070412,0.009344658,52.141435,
64,-0.029620279,-0.495960444,1.062518358,0.093193755,-0.035681278,-0.001345484,52.341561,
65,0.004848918,-0.494030625,1.081282973,-0.045472652,0.055643078,0.074401803,52.545267,
66,-0.028386101,-0.408395439,0.923854768,0.190932199,-0.012468398,-0.064264603,52.741429,
67,-0.068126634,-0.419250607,0.825888634,-0.085789755,-0.010635802,-0.041357156,52.945106,
68,-0.062943093,-0.504162133,0.688687265,-0.023481503,0.055337645,-0.009286731,53.144676,
69,-0.067879803,-0.415390998,0.771544218,0.016224742,0.017463999,-0.008675867,53.341709,
70,-0.058253214,-0.522977769,0.944812715,-0.050359577,0.033346497,-0.00562154,53.545361,
71,-0.085158296,-0.606924355,1.175593615,0.070897177,0.051977888,0.060046475,53.741757,
72,-0.07158234,-0.40477705,0.597300947,-0.086095199,0.002803234,-0.057850517,53.94562,
73,-0.1557533,-0.494995564,0.741082132,-0.001184925,0.070303842,-0.045633215,54.143038,
74,-0.137734294,-0.513328671,0.754972875,0.069675446,0.004330397,-0.063653737,54.34728,
75,0.02497193,-0.535521507,1.062761903,0.106327355,0.072747305,-0.048992973,54.544019,
76,-0.04467725,-0.512363851,0.863661587,0.030274637,0.047090963,-0.07190042,54.743444,
77,0.076370463,-0.467495799,0.871703684,0.090750299,0.064806059,-0.04288432,54.947338,
78,-0.110088699,-0.454228371,0.896073341,0.058374442,0.002803234,-0.05815595,55.143739,
79,-0.069607653,-0.553130984,0.673821747,-0.063493177,0.002192368,-0.070984125,55.347409,
80,-0.03579117,-0.548306465,0.647258878,-0.006682709,0.029681304,-0.047771242,55.552145,
81,-0.097746924,-0.510675192,0.792502105,-0.041807458,0.013187943,-0.049603838,55.743486,
82,-0.153778598,-0.443614423,0.655300856,-0.010958761,0.009217319,-0.15864329,55.946687,
83,-0.175006479,-0.429382116,0.858300269,0.03424526,0.045563802,-0.043495186,56.143214,
84,-0.108360849,-0.40212357,0.658225179,-0.043945491,0.038538851,-0.080452539,56.35045,
85,-0.080715261,-0.456881851,0.862443149,-0.000268623,-0.05919959,-0.090531811,56.546607,
86,-0.048873462,-0.497166544,0.846846521,0.074562371,0.047090963,-0.067929797,56.743723,
