,Label
0.0,Stable
1.0,Stable
2.0,Stable
3.0,Stable
4.0,Stable
5.0,Stable
6.0,Stable
7.0,Stable
8.0,Stable
9.0,Stable
10.0,Stable
11.0,Stable
12.0,Stable
13.0,Stable
14.0,Stable
15.0,Stable
16.0,Stable
17.0,Stable
18.0,Stable
19.0,Stable
20.0,Stable
21.0,Stable
22.0,Stable
23.0,Stable
24.0,Stable
25.0,Stable
26.0,Stable
27.0,Stable
28.0,Stable
29.0,Stable
30.0,Stable
31.0,Stable
32.0,Stable
33.0,Stable
34.0,Stable
35.0,Stable
36.0,Stable
37.0,Stable
38.0,Stable
39.0,Stable
40.0,Stable
41.0,Stable
42.0,Stable
43.0,Stable
44.0,Stable
45.0,Stable
46.0,Stable
47.0,Stable
48.0,Stable
49.0,Stable
50.0,Stable
51.0,Stable
52.0,Stable
53.0,Stable
54.0,Stable
55.0,Stable
56.0,Stable
57.0,Stable
58.0,Stable
59.0,Stable
60.0,Stable
61.0,Stable
62.0,Stable
63.0,Stable
64.0,Stable
65.0,Stable
66.0,Stable
67.0,Stable
68.0,Stable
69.0,Stable
70.0,Stable
71.0,Stable
72.0,Stable
73.0,Stable
74.0,Stable
75.0,Stable
76.0,Stable
77.0,Stable
78.0,Stable
79.0,Stable
80.0,Stable
81.0,Stable
82.0,Stable
83.0,Stable
84.0,Stable
85.0,Stable
86.0,Stable
87.0,Stable
88.0,Stable
89.0,Stable
90.0,Stable
91.0,Stable
92.0,Stable
93.0,Stable
94.0,Stable
95.0,Stable
96.0,Stable
97.0,Stable
98.0,Stable
99.0,Stable
100.0,Stable
101.0,Stable
102.0,Stable
103.0,Stable
104.0,Stable
105.0,Stable
106.0,Stable
107.0,Stable
108.0,Stable
109.0,Stable
110.0,Stable
111.0,Stable
112.0,Stable
113.0,Stable
114.0,Stable
115.0,Stable
116.0,Stable
117.0,Stable
118.0,Stable
119.0,Stable
120.0,Stable
121.0,Stable
122.0,Stable
123.0,Stable
124.0,Stable
125.0,Stable
126.0,Stable
127.0,Stable
128.0,Stable
129.0,Stable
130.0,Stable
131.0,Stable
132.0,Stable
133.0,Stable
134.0,Stable
135.0,Stable
136.0,Stable
137.0,Stable
138.0,Stable
139.0,Stable
140.0,Stable
141.0,Stable
142.0,Stable
143.0,Stable
144.0,Stable
145.0,Stable
