Logging started at 2024-08-26 18:15:30.763070

Hyperparameters:
ENCODER_TYPE: EncoderType.LINEAR_TRANSFORMER
SEQUENCE_LENGTH: 6
BATCH_SIZE: 50
EPOCHS: 30
EMBEDDING_DIM: 16
FREEZE_STATE: True
Epoch 1: train loss 0.4761 | train acc 0.8230 | test loss 0.4552 | test acc 0.8201
Epoch 2: train loss 0.4479 | train acc 0.8324 | test loss 0.4552 | test acc 0.8229
Epoch 3: train loss 0.4452 | train acc 0.8316 | test loss 0.4522 | test acc 0.8229
Epoch 4: train loss 0.4453 | train acc 0.8309 | test loss 0.4515 | test acc 0.8229
Epoch 5: train loss 0.4466 | train acc 0.8294 | test loss 0.4507 | test acc 0.8229
Epoch 6: train loss 0.4388 | train acc 0.8326 | test loss 0.4503 | test acc 0.8229
Epoch 7: train loss 0.4451 | train acc 0.8312 | test loss 0.4494 | test acc 0.8229
Epoch 8: train loss 0.4413 | train acc 0.8341 | test loss 0.4503 | test acc 0.8229
Epoch 9: train loss 0.4404 | train acc 0.8344 | test loss 0.4490 | test acc 0.8229
Epoch 10: train loss 0.4388 | train acc 0.8316 | test loss 0.4475 | test acc 0.8229
Epoch 11: train loss 0.4412 | train acc 0.8316 | test loss 0.4473 | test acc 0.8229
Epoch 12: train loss 0.4386 | train acc 0.8319 | test loss 0.4471 | test acc 0.8229
Epoch 13: train loss 0.4358 | train acc 0.8329 | test loss 0.4470 | test acc 0.8243
Epoch 14: train loss 0.4362 | train acc 0.8361 | test loss 0.4475 | test acc 0.8229
Epoch 15: train loss 0.4403 | train acc 0.8302 | test loss 0.4476 | test acc 0.8243
Epoch 16: train loss 0.4387 | train acc 0.8334 | test loss 0.4469 | test acc 0.8243
Epoch 17: train loss 0.4366 | train acc 0.8331 | test loss 0.4472 | test acc 0.8229
Epoch 18: train loss 0.4392 | train acc 0.8321 | test loss 0.4480 | test acc 0.8243
Epoch 19: train loss 0.4339 | train acc 0.8349 | test loss 0.4464 | test acc 0.8243
Epoch 20: train loss 0.4397 | train acc 0.8319 | test loss 0.4470 | test acc 0.8243
Epoch 21: train loss 0.4368 | train acc 0.8324 | test loss 0.4467 | test acc 0.8229
Epoch 22: train loss 0.4383 | train acc 0.8299 | test loss 0.4462 | test acc 0.8229
Epoch 23: train loss 0.4393 | train acc 0.8339 | test loss 0.4474 | test acc 0.8229
Epoch 24: train loss 0.4389 | train acc 0.8321 | test loss 0.4469 | test acc 0.8229
Epoch 25: train loss 0.4365 | train acc 0.8339 | test loss 0.4467 | test acc 0.8229
Epoch 26: train loss 0.4410 | train acc 0.8302 | test loss 0.4467 | test acc 0.8229
Epoch 27: train loss 0.4367 | train acc 0.8331 | test loss 0.4498 | test acc 0.8229
Epoch 28: train loss 0.4386 | train acc 0.8324 | test loss 0.4464 | test acc 0.8215
Epoch 29: train loss 0.4389 | train acc 0.8324 | test loss 0.4464 | test acc 0.8229
Epoch 30: train loss 0.4370 | train acc 0.8329 | test loss 0.4466 | test acc 0.8229

Logging ended at 2024-08-26 18:19:13.475167
